
With Spaces: 

Symbol->[ , 224788] Frequency-> 0,15466
Symbol->[о, 138640] Frequency-> 0,09539
Symbol->[е, 103422] Frequency-> 0,07116
Symbol->[а, 93251] Frequency-> 0,06416
Symbol->[и, 86453] Frequency-> 0,05948
Symbol->[н, 80393] Frequency-> 0,05531
Symbol->[т, 78396] Frequency-> 0,05394
Symbol->[с, 65548] Frequency-> 0,0451
Symbol->[в, 57657] Frequency-> 0,03967
Symbol->[л, 54329] Frequency-> 0,03738
Symbol->[р, 53377] Frequency-> 0,03672
Symbol->[к, 45440] Frequency-> 0,03126
Symbol->[м, 41077] Frequency-> 0,02826
Symbol->[д, 36270] Frequency-> 0,02495
Symbol->[п, 33654] Frequency-> 0,02315
Symbol->[у, 33418] Frequency-> 0,02299
Symbol->[ы, 26046] Frequency-> 0,01792
Symbol->[я, 24258] Frequency-> 0,01669
Symbol->[б, 23494] Frequency-> 0,01616
Symbol->[г, 23357] Frequency-> 0,01607
Symbol->[ь, 21318] Frequency-> 0,01467
Symbol->[з, 18801] Frequency-> 0,01294
Symbol->[ч, 17109] Frequency-> 0,01177
Symbol->[й, 16573] Frequency-> 0,0114
Symbol->[х, 12169] Frequency-> 0,00837
Symbol->[ж, 11360] Frequency-> 0,00782
Symbol->[ш, 9068] Frequency-> 0,00624
Symbol->[ю, 7793] Frequency-> 0,00536
Symbol->[щ, 4858] Frequency-> 0,00334
Symbol->[э, 4450] Frequency-> 0,00306
Symbol->[ц, 4289] Frequency-> 0,00295
Symbol->[ф, 2386] Frequency-> 0,00164

Entropey is: H = 4,39556349423817


Without Spaces: 

Symbol->[о, 138640] Frequency-> 0,11284
Symbol->[е, 103422] Frequency-> 0,08418
Symbol->[а, 93251] Frequency-> 0,0759
Symbol->[и, 86453] Frequency-> 0,07036
Symbol->[н, 80393] Frequency-> 0,06543
Symbol->[т, 78395] Frequency-> 0,06381
Symbol->[с, 65548] Frequency-> 0,05335
Symbol->[в, 57657] Frequency-> 0,04693
Symbol->[л, 54329] Frequency-> 0,04422
Symbol->[р, 53377] Frequency-> 0,04344
Symbol->[к, 45440] Frequency-> 0,03698
Symbol->[м, 41077] Frequency-> 0,03343
Symbol->[д, 36270] Frequency-> 0,02952
Symbol->[п, 33654] Frequency-> 0,02739
Symbol->[у, 33418] Frequency-> 0,0272
Symbol->[ы, 26046] Frequency-> 0,0212
Symbol->[я, 24258] Frequency-> 0,01974
Symbol->[б, 23494] Frequency-> 0,01912
Symbol->[г, 23357] Frequency-> 0,01901
Symbol->[ь, 21318] Frequency-> 0,01735
Symbol->[з, 18801] Frequency-> 0,0153
Symbol->[ч, 17109] Frequency-> 0,01392
Symbol->[й, 16573] Frequency-> 0,01349
Symbol->[х, 12169] Frequency-> 0,0099
Symbol->[ж, 11360] Frequency-> 0,00925
Symbol->[ш, 9068] Frequency-> 0,00738
Symbol->[ю, 7793] Frequency-> 0,00634
Symbol->[щ, 4858] Frequency-> 0,00395
Symbol->[э, 4450] Frequency-> 0,00362
Symbol->[ц, 4289] Frequency-> 0,00349
Symbol->[ф, 2386] Frequency-> 0,00194

Entropey is: H = 4,46468849213361


With Spaces No Crossing: 

Symbol->[о , 14051] Frequency-> 0,01933
Symbol->[и , 12828] Frequency-> 0,01765
Symbol->[е , 12278] Frequency-> 0,0169
Symbol->[ в, 11312] Frequency-> 0,01557
Symbol->[ п, 11269] Frequency-> 0,01551
Symbol->[ с, 11114] Frequency-> 0,01529
Symbol->[а , 10236] Frequency-> 0,01409
Symbol->[ н, 10178] Frequency-> 0,01401
Symbol->[то, 9442] Frequency-> 0,01299
Symbol->[ст, 8568] Frequency-> 0,01179
Symbol->[но, 7984] Frequency-> 0,01099
Symbol->[ к, 7818] Frequency-> 0,01076
Symbol->[ и, 7354] Frequency-> 0,01012
Symbol->[я , 7072] Frequency-> 0,00973
Symbol->[ о, 7028] Frequency-> 0,00967
Symbol->[на, 6948] Frequency-> 0,00956
Symbol->[ко, 6754] Frequency-> 0,00929
Symbol->[й , 6604] Frequency-> 0,00909
Symbol->[по, 6152] Frequency-> 0,00847
Symbol->[ь , 6067] Frequency-> 0,00835
Symbol->[м , 5956] Frequency-> 0,0082
Symbol->[не, 5800] Frequency-> 0,00798
Symbol->[го, 5663] Frequency-> 0,00779
Symbol->[ т, 5489] Frequency-> 0,00755
Symbol->[ни, 5418] Frequency-> 0,00746
Symbol->[в , 5245] Frequency-> 0,00722
Symbol->[ен, 5191] Frequency-> 0,00714
Symbol->[та, 5169] Frequency-> 0,00711
Symbol->[ов, 5152] Frequency-> 0,00709
Symbol->[ро, 5021] Frequency-> 0,00691
Symbol->[ра, 4936] Frequency-> 0,00679
Symbol->[во, 4922] Frequency-> 0,00677
Symbol->[ка, 4803] Frequency-> 0,00661
Symbol->[ос, 4773] Frequency-> 0,00657
Symbol->[от, 4705] Frequency-> 0,00647
Symbol->[ м, 4689] Frequency-> 0,00645
Symbol->[т , 4677] Frequency-> 0,00644
Symbol->[ли, 4633] Frequency-> 0,00638
Symbol->[ер, 4539] Frequency-> 0,00625
Symbol->[ре, 4498] Frequency-> 0,00619
Symbol->[ д, 4486] Frequency-> 0,00617
Symbol->[ б, 4470] Frequency-> 0,00615
Symbol->[ор, 4375] Frequency-> 0,00602
Symbol->[у , 4298] Frequency-> 0,00591
Symbol->[ел, 4271] Frequency-> 0,00588
Symbol->[пр, 4258] Frequency-> 0,00586
Symbol->[ом, 4116] Frequency-> 0,00566
Symbol->[ло, 4116] Frequency-> 0,00566
Symbol->[ве, 4100] Frequency-> 0,00564
Symbol->[ит, 4019] Frequency-> 0,00553
Symbol->[ал, 4009] Frequency-> 0,00552
Symbol->[ва, 3944] Frequency-> 0,00543
Symbol->[ол, 3902] Frequency-> 0,00537
Symbol->[од, 3874] Frequency-> 0,00533
Symbol->[ог, 3839] Frequency-> 0,00528
Symbol->[ет, 3798] Frequency-> 0,00523
Symbol->[ан, 3700] Frequency-> 0,00509
Symbol->[те, 3666] Frequency-> 0,00504
Symbol->[ы , 3599] Frequency-> 0,00495
Symbol->[ес, 3582] Frequency-> 0,00493
Symbol->[ны, 3526] Frequency-> 0,00485
Symbol->[ть, 3462] Frequency-> 0,00476
Symbol->[ки, 3443] Frequency-> 0,00474
Symbol->[ой, 3400] Frequency-> 0,00468
Symbol->[он, 3399] Frequency-> 0,00468
Symbol->[х , 3391] Frequency-> 0,00467
Symbol->[ль, 3361] Frequency-> 0,00462
Symbol->[ ч, 3300] Frequency-> 0,00454
Symbol->[ак, 3234] Frequency-> 0,00445
Symbol->[к , 3188] Frequency-> 0,00439
Symbol->[ле, 3125] Frequency-> 0,0043
Symbol->[об, 3119] Frequency-> 0,00429
Symbol->[да, 3020] Frequency-> 0,00416
Symbol->[ри, 3019] Frequency-> 0,00415
Symbol->[де, 3000] Frequency-> 0,00413
Symbol->[ме, 2945] Frequency-> 0,00405
Symbol->[ти, 2943] Frequency-> 0,00405
Symbol->[ р, 2940] Frequency-> 0,00405
Symbol->[л , 2932] Frequency-> 0,00403
Symbol->[ем, 2917] Frequency-> 0,00401
Symbol->[ат, 2901] Frequency-> 0,00399
Symbol->[ла, 2887] Frequency-> 0,00397
Symbol->[ск, 2880] Frequency-> 0,00396
Symbol->[ з, 2767] Frequency-> 0,00381
Symbol->[за, 2761] Frequency-> 0,0038
Symbol->[ г, 2748] Frequency-> 0,00378
Symbol->[ил, 2723] Frequency-> 0,00375
Symbol->[ у, 2698] Frequency-> 0,00371
Symbol->[мо, 2696] Frequency-> 0,00371
Symbol->[ся, 2663] Frequency-> 0,00366
Symbol->[нн, 2610] Frequency-> 0,00359
Symbol->[ам, 2584] Frequency-> 0,00356
Symbol->[ав, 2521] Frequency-> 0,00347
Symbol->[ег, 2437] Frequency-> 0,00335
Symbol->[ас, 2423] Frequency-> 0,00333
Symbol->[че, 2403] Frequency-> 0,00331
Symbol->[бо, 2343] Frequency-> 0,00322
Symbol->[ви, 2341] Frequency-> 0,00322
Symbol->[до, 2317] Frequency-> 0,00319
Symbol->[ е, 2316] Frequency-> 0,00319
Symbol->[ми, 2300] Frequency-> 0,00316
Symbol->[ин, 2299] Frequency-> 0,00316
Symbol->[н , 2268] Frequency-> 0,00312
Symbol->[се, 2268] Frequency-> 0,00312
Symbol->[им, 2206] Frequency-> 0,00304
Symbol->[же, 2205] Frequency-> 0,00303
Symbol->[тр, 2199] Frequency-> 0,00303
Symbol->[ед, 2180] Frequency-> 0,003
Symbol->[бы, 2123] Frequency-> 0,00292
Symbol->[сл, 2109] Frequency-> 0,0029
Symbol->[ма, 2091] Frequency-> 0,00288
Symbol->[ис, 2030] Frequency-> 0,00279
Symbol->[со, 2029] Frequency-> 0,00279
Symbol->[бе, 1935] Frequency-> 0,00266
Symbol->[ик, 1934] Frequency-> 0,00266
Symbol->[аз, 1932] Frequency-> 0,00266
Symbol->[ди, 1878] Frequency-> 0,00258
Symbol->[чт, 1874] Frequency-> 0,00258
Symbol->[ар, 1865] Frequency-> 0,00257
Symbol->[ л, 1856] Frequency-> 0,00255
Symbol->[ э, 1850] Frequency-> 0,00255
Symbol->[вс, 1840] Frequency-> 0,00253
Symbol->[тв, 1820] Frequency-> 0,0025
Symbol->[ю , 1804] Frequency-> 0,00248
Symbol->[ое, 1771] Frequency-> 0,00244
Symbol->[ру, 1768] Frequency-> 0,00243
Symbol->[ие, 1765] Frequency-> 0,00243
Symbol->[вы, 1765] Frequency-> 0,00243
Symbol->[из, 1765] Frequency-> 0,00243
Symbol->[с , 1752] Frequency-> 0,00241
Symbol->[ а, 1727] Frequency-> 0,00238
Symbol->[ну, 1726] Frequency-> 0,00238
Symbol->[пе, 1695] Frequency-> 0,00233
Symbol->[эт, 1649] Frequency-> 0,00227
Symbol->[сь, 1639] Frequency-> 0,00226
Symbol->[дн, 1624] Frequency-> 0,00223
Symbol->[ок, 1598] Frequency-> 0,0022
Symbol->[ый, 1595] Frequency-> 0,00219
Symbol->[ив, 1576] Frequency-> 0,00217
Symbol->[их, 1499] Frequency-> 0,00206
Symbol->[ей, 1476] Frequency-> 0,00203
Symbol->[ая, 1390] Frequency-> 0,00191
Symbol->[св, 1377] Frequency-> 0,00189
Symbol->[ля, 1366] Frequency-> 0,00188
Symbol->[му, 1360] Frequency-> 0,00187
Symbol->[уд, 1347] Frequency-> 0,00185
Symbol->[са, 1307] Frequency-> 0,0018
Symbol->[ад, 1280] Frequency-> 0,00176
Symbol->[ые, 1271] Frequency-> 0,00175
Symbol->[ча, 1253] Frequency-> 0,00172
Symbol->[ще, 1248] Frequency-> 0,00172
Symbol->[ ж, 1243] Frequency-> 0,00171
Symbol->[ше, 1229] Frequency-> 0,00169
Symbol->[ым, 1222] Frequency-> 0,00168
Symbol->[кр, 1217] Frequency-> 0,00167
Symbol->[чи, 1214] Frequency-> 0,00167
Symbol->[тс, 1213] Frequency-> 0,00167
Symbol->[ты, 1201] Frequency-> 0,00165
Symbol->[хо, 1198] Frequency-> 0,00165
Symbol->[ры, 1195] Frequency-> 0,00164
Symbol->[ду, 1190] Frequency-> 0,00164
Symbol->[ий, 1176] Frequency-> 0,00162
Symbol->[ я, 1168] Frequency-> 0,00161
Symbol->[ож, 1149] Frequency-> 0,00158
Symbol->[зн, 1134] Frequency-> 0,00156
Symbol->[ых, 1132] Frequency-> 0,00156
Symbol->[ши, 1132] Frequency-> 0,00156
Symbol->[ьн, 1128] Frequency-> 0,00155
Symbol->[па, 1128] Frequency-> 0,00155
Symbol->[ту, 1123] Frequency-> 0,00155
Symbol->[ут, 1123] Frequency-> 0,00155
Symbol->[лу, 1104] Frequency-> 0,00152
Symbol->[оч, 1104] Frequency-> 0,00152
Symbol->[пи, 1102] Frequency-> 0,00152
Symbol->[оп, 1102] Frequency-> 0,00152
Symbol->[ку, 1098] Frequency-> 0,00151
Symbol->[ае, 1073] Frequency-> 0,00148
Symbol->[ия, 1069] Frequency-> 0,00147
Symbol->[ев, 1069] Frequency-> 0,00147
Symbol->[сп, 1068] Frequency-> 0,00147
Symbol->[ах, 1065] Frequency-> 0,00147
Symbol->[жи, 1053] Frequency-> 0,00145
Symbol->[гл, 1049] Frequency-> 0,00144
Symbol->[оз, 1042] Frequency-> 0,00143
Symbol->[ек, 1040] Frequency-> 0,00143
Symbol->[мы, 1034] Frequency-> 0,00142
Symbol->[ыл, 1030] Frequency-> 0,00142
Symbol->[з , 1028] Frequency-> 0,00141
Symbol->[ят, 1003] Frequency-> 0,00138
Symbol->[ус, 987] Frequency-> 0,00136
Symbol->[га, 970] Frequency-> 0,00133
Symbol->[ич, 933] Frequency-> 0,00128
Symbol->[д , 931] Frequency-> 0,00128
Symbol->[мн, 900] Frequency-> 0,00124
Symbol->[бр, 896] Frequency-> 0,00123
Symbol->[вн, 876] Frequency-> 0,00121
Symbol->[тн, 873] Frequency-> 0,0012
Symbol->[си, 873] Frequency-> 0,0012
Symbol->[пл, 868] Frequency-> 0,00119
Symbol->[аб, 864] Frequency-> 0,00119
Symbol->[ид, 856] Frequency-> 0,00118
Symbol->[су, 847] Frequency-> 0,00117
Symbol->[аю, 841] Frequency-> 0,00116
Symbol->[пу, 839] Frequency-> 0,00115
Symbol->[бл, 838] Frequency-> 0,00115
Symbol->[ез, 837] Frequency-> 0,00115
Symbol->[уж, 832] Frequency-> 0,00114
Symbol->[ую, 819] Frequency-> 0,00113
Symbol->[еп, 808] Frequency-> 0,00111
Symbol->[гр, 800] Frequency-> 0,0011
Symbol->[сн, 798] Frequency-> 0,0011
Symbol->[еб, 789] Frequency-> 0,00109
Symbol->[чн, 786] Frequency-> 0,00108
Symbol->[ня, 775] Frequency-> 0,00107
Symbol->[ х, 773] Frequency-> 0,00106
Symbol->[ее, 773] Frequency-> 0,00106
Symbol->[ря, 770] Frequency-> 0,00106
Symbol->[бу, 767] Frequency-> 0,00106
Symbol->[еч, 764] Frequency-> 0,00105
Symbol->[аж, 759] Frequency-> 0,00104
Symbol->[гд, 757] Frequency-> 0,00104
Symbol->[би, 756] Frequency-> 0,00104
Symbol->[ап, 753] Frequency-> 0,00104
Symbol->[ыв, 750] Frequency-> 0,00103
Symbol->[др, 743] Frequency-> 0,00102
Symbol->[ач, 714] Frequency-> 0,00098
Symbol->[уг, 711] Frequency-> 0,00098
Symbol->[ир, 710] Frequency-> 0,00098
Symbol->[рн, 705] Frequency-> 0,00097
Symbol->[ке, 704] Frequency-> 0,00097
Symbol->[ьк, 698] Frequency-> 0,00096
Symbol->[ ф, 683] Frequency-> 0,00094
Symbol->[вл, 679] Frequency-> 0,00093
Symbol->[ги, 678] Frequency-> 0,00093
Symbol->[жа, 678] Frequency-> 0,00093
Symbol->[жн, 677] Frequency-> 0,00093
Symbol->[лю, 677] Frequency-> 0,00093
Symbol->[лы, 676] Frequency-> 0,00093
Symbol->[це, 674] Frequency-> 0,00093
Symbol->[ ш, 671] Frequency-> 0,00092
Symbol->[ии, 662] Frequency-> 0,00091
Symbol->[уб, 656] Frequency-> 0,0009
Symbol->[еж, 633] Frequency-> 0,00087
Symbol->[ои, 632] Frequency-> 0,00087
Symbol->[рт, 629] Frequency-> 0,00087
Symbol->[ьс, 627] Frequency-> 0,00086
Symbol->[нт, 625] Frequency-> 0,00086
Symbol->[ют, 622] Frequency-> 0,00086
Symbol->[жд, 620] Frequency-> 0,00085
Symbol->[щи, 620] Frequency-> 0,00085
Symbol->[уч, 617] Frequency-> 0,00085
Symbol->[лс, 612] Frequency-> 0,00084
Symbol->[р , 603] Frequency-> 0,00083
Symbol->[вр, 603] Frequency-> 0,00083
Symbol->[зд, 600] Frequency-> 0,00083
Symbol->[зв, 590] Frequency-> 0,00081
Symbol->[нь, 587] Frequency-> 0,00081
Symbol->[ул, 580] Frequency-> 0,0008
Symbol->[г , 575] Frequency-> 0,00079
Symbol->[оя, 566] Frequency-> 0,00078
Symbol->[дл, 564] Frequency-> 0,00078
Symbol->[ха, 563] Frequency-> 0,00077
Symbol->[ша, 562] Frequency-> 0,00077
Symbol->[ыс, 560] Frequency-> 0,00077
Symbol->[зо, 559] Frequency-> 0,00077
Symbol->[ды, 555] Frequency-> 0,00076
Symbol->[вш, 545] Frequency-> 0,00075
Symbol->[ум, 545] Frequency-> 0,00075
Symbol->[аш, 537] Frequency-> 0,00074
Symbol->[аг, 537] Frequency-> 0,00074
Symbol->[кл, 531] Frequency-> 0,00073
Symbol->[тя, 531] Frequency-> 0,00073
Symbol->[сс, 527] Frequency-> 0,00073
Symbol->[ба, 517] Frequency-> 0,00071
Symbol->[уш, 514] Frequency-> 0,00071
Symbol->[ай, 512] Frequency-> 0,0007
Symbol->[ыт, 504] Frequency-> 0,00069
Symbol->[дв, 492] Frequency-> 0,00068
Symbol->[ву, 485] Frequency-> 0,00067
Symbol->[уп, 483] Frequency-> 0,00066
Symbol->[см, 471] Frequency-> 0,00065
Symbol->[иб, 470] Frequency-> 0,00065
Symbol->[ян, 460] Frequency-> 0,00063
Symbol->[ещ, 456] Frequency-> 0,00063
Symbol->[еш, 454] Frequency-> 0,00062
Symbol->[нс, 452] Frequency-> 0,00062
Symbol->[ур, 451] Frequency-> 0,00062
Symbol->[ук, 441] Frequency-> 0,00061
Symbol->[ющ, 439] Frequency-> 0,0006
Symbol->[нд, 437] Frequency-> 0,0006
Symbol->[ца, 433] Frequency-> 0,0006
Symbol->[йс, 430] Frequency-> 0,00059
Symbol->[ям, 427] Frequency-> 0,00059
Symbol->[тк, 423] Frequency-> 0,00058
Symbol->[ув, 420] Frequency-> 0,00058
Symbol->[ял, 414] Frequency-> 0,00057
Symbol->[иг, 411] Frequency-> 0,00057
Symbol->[рс, 410] Frequency-> 0,00056
Symbol->[гу, 405] Frequency-> 0,00056
Symbol->[ун, 404] Frequency-> 0,00056
Symbol->[лн, 403] Frequency-> 0,00055
Symbol->[мя, 393] Frequency-> 0,00054
Symbol->[лл, 383] Frequency-> 0,00053
Symbol->[дь, 379] Frequency-> 0,00052
Symbol->[ью, 376] Frequency-> 0,00052
Symbol->[ ц, 368] Frequency-> 0,00051
Symbol->[зм, 365] Frequency-> 0,0005
Symbol->[йн, 364] Frequency-> 0,0005
Symbol->[иц, 363] Frequency-> 0,0005
Symbol->[яс, 358] Frequency-> 0,00049
Symbol->[кт, 350] Frequency-> 0,00048
Symbol->[рь, 347] Frequency-> 0,00048
Symbol->[дс, 344] Frequency-> 0,00047
Symbol->[зу, 340] Frequency-> 0,00047
Symbol->[чу, 339] Frequency-> 0,00047
Symbol->[иш, 329] Frequency-> 0,00045
Symbol->[ци, 328] Frequency-> 0,00045
Symbol->[зы, 326] Frequency-> 0,00045
Symbol->[вз, 323] Frequency-> 0,00044
Symbol->[нц, 312] Frequency-> 0,00043
Symbol->[шь, 305] Frequency-> 0,00042
Symbol->[ущ, 303] Frequency-> 0,00042
Symbol->[кн, 300] Frequency-> 0,00041
Symbol->[яд, 299] Frequency-> 0,00041
Symbol->[ьш, 297] Frequency-> 0,00041
Symbol->[ща, 293] Frequency-> 0,0004
Symbol->[ош, 288] Frequency-> 0,0004
Symbol->[ыш, 286] Frequency-> 0,00039
Symbol->[б , 285] Frequency-> 0,00039
Symbol->[ух, 283] Frequency-> 0,00039
Symbol->[ец, 282] Frequency-> 0,00039
Symbol->[ох, 282] Frequency-> 0,00039
Symbol->[яв, 281] Frequency-> 0,00039
Symbol->[ех, 280] Frequency-> 0,00039
Symbol->[шл, 280] Frequency-> 0,00039
Symbol->[вя, 279] Frequency-> 0,00038
Symbol->[бн, 279] Frequency-> 0,00038
Symbol->[рв, 279] Frequency-> 0,00038
Symbol->[рм, 278] Frequency-> 0,00038
Symbol->[юд, 277] Frequency-> 0,00038
Symbol->[кв, 273] Frequency-> 0,00038
Symbol->[ья, 271] Frequency-> 0,00037
Symbol->[лв, 267] Frequency-> 0,00037
Symbol->[ге, 265] Frequency-> 0,00036
Symbol->[ьб, 265] Frequency-> 0,00036
Symbol->[зе, 259] Frequency-> 0,00036
Symbol->[шк, 258] Frequency-> 0,00036
Symbol->[гн, 258] Frequency-> 0,00036
Symbol->[зи, 258] Frequency-> 0,00036
Symbol->[зг, 257] Frequency-> 0,00035
Symbol->[иа, 256] Frequency-> 0,00035
Symbol->[рп, 255] Frequency-> 0,00035
Symbol->[рж, 254] Frequency-> 0,00035
Symbol->[сы, 254] Frequency-> 0,00035
Symbol->[ящ, 248] Frequency-> 0,00034
Symbol->[ц , 246] Frequency-> 0,00034
Symbol->[зр, 242] Frequency-> 0,00033
Symbol->[ео, 239] Frequency-> 0,00033
Symbol->[дя, 237] Frequency-> 0,00033
Symbol->[ср, 237] Frequency-> 0,00033
Symbol->[ощ, 236] Frequency-> 0,00032
Symbol->[сч, 236] Frequency-> 0,00032
Symbol->[ье, 235] Frequency-> 0,00032
Symbol->[дк, 234] Frequency-> 0,00032
Symbol->[пы, 229] Frequency-> 0,00032
Symbol->[рд, 225] Frequency-> 0,00031
Symbol->[бя, 225] Frequency-> 0,00031
Symbol->[лк, 223] Frequency-> 0,00031
Symbol->[нг, 220] Frequency-> 0,0003
Symbol->[фа, 219] Frequency-> 0,0003
Symbol->[шн, 218] Frequency-> 0,0003
Symbol->[йт, 216] Frequency-> 0,0003
Symbol->[фи, 215] Frequency-> 0,0003
Symbol->[чь, 210] Frequency-> 0,00029
Symbol->[нк, 209] Frequency-> 0,00029
Symbol->[хв, 209] Frequency-> 0,00029
Symbol->[ио, 208] Frequency-> 0,00029
Symbol->[иж, 207] Frequency-> 0,00028
Symbol->[тл, 202] Frequency-> 0,00028
Symbol->[фо, 201] Frequency-> 0,00028
Symbol->[ип, 200] Frequency-> 0,00028
Symbol->[рх, 199] Frequency-> 0,00027
Symbol->[аи, 198] Frequency-> 0,00027
Symbol->[рк, 198] Frequency-> 0,00027
Symbol->[як, 198] Frequency-> 0,00027
Symbol->[ищ, 197] Frequency-> 0,00027
Symbol->[вд, 196] Frequency-> 0,00027
Symbol->[ыр, 194] Frequency-> 0,00027
Symbol->[вп, 194] Frequency-> 0,00027
Symbol->[ию, 193] Frequency-> 0,00027
Symbol->[зл, 192] Frequency-> 0,00026
Symbol->[ащ, 192] Frequency-> 0,00026
Symbol->[ыч, 191] Frequency-> 0,00026
Symbol->[ях, 190] Frequency-> 0,00026
Symbol->[вт, 184] Frequency-> 0,00025
Symbol->[ою, 183] Frequency-> 0,00025
Symbol->[ац, 178] Frequency-> 0,00024
Symbol->[вк, 177] Frequency-> 0,00024
Symbol->[уе, 174] Frequency-> 0,00024
Symbol->[ьм, 174] Frequency-> 0,00024
Symbol->[уз, 172] Frequency-> 0,00024
Symbol->[яз, 171] Frequency-> 0,00024
Symbol->[бс, 167] Frequency-> 0,00023
Symbol->[рб, 164] Frequency-> 0,00023
Symbol->[оо, 163] Frequency-> 0,00022
Symbol->[дц, 162] Frequency-> 0,00022
Symbol->[бщ, 160] Frequency-> 0,00022
Symbol->[цы, 160] Frequency-> 0,00022
Symbol->[чк, 159] Frequency-> 0,00022
Symbol->[яе, 158] Frequency-> 0,00022
Symbol->[пя, 155] Frequency-> 0,00021
Symbol->[шт, 155] Frequency-> 0,00021
Symbol->[мл, 154] Frequency-> 0,00021
Symbol->[еи, 154] Frequency-> 0,00021
Symbol->[лж, 152] Frequency-> 0,00021
Symbol->[хи, 151] Frequency-> 0,00021
Symbol->[ыб, 151] Frequency-> 0,00021
Symbol->[сх, 150] Frequency-> 0,00021
Symbol->[ху, 150] Frequency-> 0,00021
Symbol->[зб, 150] Frequency-> 0,00021
Symbol->[рш, 148] Frequency-> 0,0002
Symbol->[ж , 146] Frequency-> 0,0002
Symbol->[рю, 145] Frequency-> 0,0002
Symbol->[аф, 143] Frequency-> 0,0002
Symbol->[еа, 142] Frequency-> 0,0002
Symbol->[юб, 141] Frequency-> 0,00019
Symbol->[шу, 139] Frequency-> 0,00019
Symbol->[фе, 138] Frequency-> 0,00019
Symbol->[бб, 136] Frequency-> 0,00019
Symbol->[яю, 134] Frequency-> 0,00018
Symbol->[оф, 133] Frequency-> 0,00018
Symbol->[юч, 130] Frequency-> 0,00018
Symbol->[йш, 129] Frequency-> 0,00018
Symbol->[фл, 129] Frequency-> 0,00018
Symbol->[рг, 129] Frequency-> 0,00018
Symbol->[жу, 127] Frequency-> 0,00017
Symbol->[мс, 127] Frequency-> 0,00017
Symbol->[бь, 126] Frequency-> 0,00017
Symbol->[хр, 126] Frequency-> 0,00017
Symbol->[щн, 125] Frequency-> 0,00017
Symbol->[пк, 123] Frequency-> 0,00017
Symbol->[зя, 122] Frequency-> 0,00017
Symbol->[сю, 122] Frequency-> 0,00017
Symbol->[цо, 118] Frequency-> 0,00016
Symbol->[дж, 117] Frequency-> 0,00016
Symbol->[сэ, 115] Frequency-> 0,00016
Symbol->[пн, 115] Frequency-> 0,00016
Symbol->[ык, 114] Frequency-> 0,00016
Symbol->[еу, 113] Frequency-> 0,00016
